Username,Text
gbay,@bavster_twit u can't sip crap vodka! Nope not done #c25k got ominous knee pain - not good 
bluemelbo,Off to the doctor's today emily has a rash which looks like the measles 
Buttonzx6r,@shantelleb so has mine 
Nattfodd,@Aiiane What's wrong with being an attention whore? 
somanydialects,on the coach  gonna be fun!
CarlyDSnyder,Misses Rach already 
BadGurlAKACream,@DeiondraSanders I'm always up late. I wish I was a morning person but I'm not 
DWXavier,AHHHHHHH! Everyones doing laundry except me 
chrisdahl,boxee now has Pandora. Useless to me here in Oz. Boo hoo 
chocolatekate6,i hurt my leg! 
lizaaaa,"@timvansas no, not yet   But also need to finish the rest of it ;)"
jessixcouture,@seanporter thank uuu! i know i heard youre in dallas 
featherlight,Downy weather  Where's the summer?
jessiesarah,@KarsentheSlater I'm getting pissy lately - I know I make mormon jokes at you - I'm sorry. I hear mormon jokes now and I feel bad. 
erinhstar,"Also, I realize that sounded a tad drama-queen, but I haven't been sick in YEARS. It's hittin me hard this time "
alycakes,Okay I'm sorry that was mean. I'm not nice 
timdorr,Craaaaap. My Macbook Pro is kernel panicking a lot now. I think I'm going to be forced into an upgrade sooner than this summer 
msbady,pose ta b goin ta AZ dis week  i hope lol
webmaster_paul,"Well that made me sad, i sat down to watch tv, and then remembered i dont have cable anymore.  Lol."
pussycat253,@1an3 thank you!! I have to now do it all again today 
IndieAnnie,Had a lovely day at the beach followed by dinner with a gorgeous lady ;) roll on the work today  Booo!
itsjusttori,"@TyJaneTrev i agreee! clearly they only want attention, SORRY I COULDN'T CATCH THE TRAIN MATEEE "
emmmmmmmmm,"i got smoke in my eyes, now they burn "
waako,"Loves what #drupal file framework module could do, but is sick of Bitcache errors making it impossible to upload files "
trishaberida,i feel lonely today.... 
Pumpkinpopkin,@hebb I wish I could go to bed... 
samanthaisbenny,Haha my house is creepy at night!!  It creaks and stuff..scary. lol..I'm gonna go to bed.
jaybe81,can't upload my pic 
kevinjy1980,ah..I hate flu..now its third day. guess what happened accidently I shaved my eye brows off. I need glasses 
not_a_frog,@zackdft but i like reading the bullshit! 
BrittniA,im so confused  This SUCKS!!!!!
09020084,has to study math 4 econ but isnt in the mood 
NewBread,"@MissCassandra StiLL on my &quot;Lions &amp; Tigers &amp; Bears&quot; shyt.............  but GOD is gOOd consequently, I wiLL be tOO"
mcsteph94,why do other people get replies 
misskle,"Damn stiff neck, day 2 "
unicornanatomy,@djginaturner no le gusta house of house 5 min intro 
EllieYoung,Missing the fab five 
rdalba,@marcellariley it was a repeat tonight for Gossip Girl 
carleensteele,is losing her hubby for a week tomorrow for work.  Easter and all 
waivethesale,@HoptonHouseBnB I'm thinking of getting my old FM tuner from the garage as I'm having problems when my PC just stops playing audio 
sezjoelwantsit,i want my money from kevo to hurry up 
Maria_143,Anybody willing to help me??? I've been trying to make a sad tune on the piano for a new song but it always ends up happy and bright  ???
lizlin,@bursaar Good for me. I haven't gone to bed... 
CloverMay,baking oatmeal + chocolate chip cookies to make me tired.  i can't sleep 
boogie_shoes,and so the editing of 3000 wedding shots begins 
Reptar01,my facebook is Fucked. 
Fatty_D,@KellyShibari i thought i saw you there! you were walking out the door when i saw you. 
Babybandit,@derek319 @shwe370 sweet! That was fun... Except it stretched my browser... And I was watching Twit! 
hungsika,Ads not yet appeared  Google Adsense Team said it may delay 48 hrs on http://womenissues.info
TC_President,tired  i need a regular 9-5
themainecanada,my dog is in my room SNORING! 
LoftonRiser,Going to sleep... hoping to wake up and tommorow will be Wednesday instead of Tuesday... I really don't want to go to work 
eve0887,@wtfanabel nite!! I still cant go to sleep. 
ChrisScherer,Im such an insomniac this week 
tizzle241,@alissa_rules Basically.  I feel like I need to take better care of myself after seeing that fool.  No more juicin' for me 
danadearmond,still spitting out stitches from that bone graft 
pleep,hooray for the ever so reliable signalflare server 
shuttler,"Well that was a fun nights work, now to start the working day "
yoyojustinfro,Sleepin. @skankityspence halo tonight before you leave 
Lush_London,@Schofe not off the side of the bridge I hope? 
jessa_almeida,watchin.. I'm not there. and missing heath ledger 
tempeste,"@Indigored_hot  sorry your day was a waste, hope you found some good bits in it and YAY you are homeward bound."
lainers895,"@awillert  im so jealous..i want salsa, but the cookies were AMAZING!"
thepetshopboy,blip is &quot;under maintenance&quot; &amp; i'm goin' through withdrawel 
HezzyRchild,"@MadNinjaCurl hey neighbor, neither can I "
saragwin,@msJodiOdie its such a sad situation. Though 1-in-3 of us will be beaten. In US every 15 seconds &amp; 3 killed a day. It's sadly commonplace 
ei8htyOne,and so the editing of 3000 wedding shots begins 
vickydotin,Journalist throws shoe at Chidambaram  http://ibnlive.in.com/news/journalist-throws-shoe-at-chidambaram/89666-3.html
stephenplynch,"starting to resent always being struck by creativity after midnight, then having to get up for work in the morning "
feefers,What's the best way to eat reheated pizza I keep trying to eat this one but it's too hot and makes my mouth be in pain 
ElmosSexy,Nothing was sick all day it sucked im just up late cant sleep 
symee,Even with the best intentions i'm late for work again 
Anna1968,"@Linda_James Thank you!! I spent ages on Thursday tidying up, then along came everyone and it looked like a right tip again "
iliPahgz, Heroes is losing it's momentum ): come on writers pick it up!!!
JackiiAngel,it�s so boring 
hellonatalie,is back at work...Although I wish I was back in bed... 
SER99,its sprained!!  so glad im on holidays
_anthonyjames,"Stupid bus was early  I missed it. Stupid thing  Then I missed the bus after that.  Finally got a bus, then missed my second :'( gutz."
Catmoo,"@MrNokill @MrNokill problem is they aren't appealing to a wide enough audience, even though they think they may be "
jnarin,@AiyerChitra Yikes! Now i have no clues what to do! 
tweetingbird27,I am engaged to muppet orlando and i just realised oh my god i cant marry Justin Timberlake 
BaBy_N,gosh it`t 9:39 am and i am soooo tired &quot;yawn&quot; i want to go back to sleep but i can`t 
CllrDaisyBenson,On the train sans Guardian 
DesertCubist,Made it into DC on Saturday afternoon after 17 hours in air and am now in South FL...jetlag sucks!!  Haven't had a full sleep since Thurs 
Nojman,"I'm at work, and I'm sick.. And its helluva lot todo. This blows. "
nabilaqila,i am so screwed up! a confused and dumb child!  i NEVER felt so bad all my life! i wish i have any specialty! too bad i have none ='(
convoy3571,Went to the doctor's today and my blood sugar level was 178. 
Divi9elyCreated,gosh...it makes me sad when people don't give God a chance 
Roses_Are_Red,"@kaylee110 *yawns* i'm pretty good, thanks, awww  i'm sorry to hear that! feel better soon &lt;3"
__Ilse,@shelikescute that's so sad 
MiDesfileNegro,It's 8:40am... I've been awake for nearly 2 hours 
HNav,can't sleep. I don't like Sonny being gone. 
eckorecord,Not drunk at all  @kirstiekalamity
eunicecute,finally! updated...oohh I sooo miss the internet {sorry to say that woop2x may not open apr.10}  so how's it goin'??
amazingphoebe,i miss @sebby_peek 
Sholaa,"@dadi_iyal and you'll get familiar with twitter pretty soon!!! i'm not coming back this summer, so that means i dont even see you then?! "
aarod,loves to get drunk... just not by himself 
GirltaristHan,I have a hole in my favourite top. I bought it in the sale before Christmas so I can't even get an exchange  might try fixing it later.
Naomi_Jaine,"feeling very poorly and sorry for myself. Can't swallow, ow  Stupid glands."
kimoIK,@StreetWearBear.  yes I am thanks for reaveling to the world bro fuck my life hahaha
rarrkun,@cherrytreerec I can't see anything  Stupid YouTube and their location restrictions. Who's in the Speedo?
rsefuck,She now wants an mmmf except I have to only play a supporting role  would mind but the other two guys have huge cocks what am I to do? 
OMGzorz,Banned from Sims Forums for the rest of the week. Aww    It feels weird. I was only sticking up for Chanel :'(
annemarike,@willadam i treated myself to that latte after the appointment which was horrible. I need to have my wisdom teeth surgically removed 
happymikipower,@CelesteChong oh but mine is ceramic so its more ex  abit less visible. inside ones are very ex! double the price n double the duration
jasongaunt,"Dear Crimestoppers, thankyou for your regular service of our burglar alarm, I'm most grateful for the new 200dB ear-deafening entry tones "
ValerieNichole,"All the fightin and name callin, i can still run 2 my sister!  nite..."
Earytha,sick today  and i have a lot to do at work 
t0ny7,Trying to find a tech job. Can't find any entry level jobs any were.  Also just about every job site has more spam now then jobs.
DreamCharon,4 am insomnia is a BITCH 
bri2003,just threw up all over the bathroom. not fun 
markbrown83,off to work 
BeccaSmalldon,Really hungry and sad that I had to throw my breakfast in the bin 
Matches1,Oh darn...it's mandy creed isnt it @jordar @mikerra 
maryanna03,i dont understand.  i didnt mean to break anyones heart. 
turkish_lawyer,"Obama is visiting istanbul today, therefore all main roads have been closed  cause and effect !!!"
badwulfstudio,"A lovely day, blazing sunshine.... too bad I have to work "
maynot0703,"OMG my girl just woke me up, reason doesnt matter &amp; now I cant fall back to sleep  Gotta b up at 5 so maybe I'll just stay up. **sigh**"
simonklaiber,"@viennateng Why didn't you tweet that you are in Germany, Heard about the concert in Marburg in the Radio 1 hour before it started. "
AlanCayce,late night is all re-runs  http://ff.im/1Y02L
mikolyn,just getting home...its snowing 
chomma,@roxy_yeah yep a loser.  
EvilSue,and finito! All bathroom contractors been thru the house. Quotes incoming then i need to bite the bullet 
lexikitty,@caitlinaudrey awww!  that sucks! are you going to the sydney one?
terrajen,"Sorry, SF. Rescheduling my SF trip for this coming weekend to mid May. Bad circumstances "
MonBon_,"2morw  I get my blasted wisdom teeth pulled! Need sleep...cnt stop worryng, I hate needles "
RichardFWatson,"Morning twitterati...... Large coffee and a bath on top of todays list, first appt 10am then loads of desk work. "
lucienfoort,hitting the gym! afterwards looking forward to rewiring my studio... yet again 
fionalvsdarren,doesnt  want to go to work lol 
coachamy,"@SherriGarrity Sorry I missed responding yesterday  Rochester is in MN, so we are not to far from each other! Dark chocolate rocks!"
psychosnoopy,i wanna come with them to bohol!!!! 
its_julia,I have a cold  buee
chubbi3chink,Ate a piece of angel food cake and another Laffy Taffy 
adamrothman,"Driving back to La Quinta tomorrow... I should sleep, but I'm oddly wired. "
pantelee,aaaaaaaaaah still cold outside... at least it's sunny! For now that is 
jrgalang,is running on low batteries....  http://plurk.com/p/n0blb
Lbookie89,At shell gas station. lunch break. Tired. 
pghsteelerjenny,Ready for sleep but having trouble sleeping 
shelleyplumpton,just burnt my fingers on a hot cup of tea - ouch!!! 
xamylouise,Hhh~ It's times like THAT when you want things to stay right  Then someone comes and wrecks it.
nathiuria,"@mileycyrus i have the same problem, but it's 4:43 here... let's see if counting works..1234...56 57 58... 132 133 134... no z's for me! "
MeganLovesJo, there is no way i can go to school today im way to sick
jamesisapc,Wikipedia has gone  forever! See what the goverment do its there fualt lets hope donations or something bring it back !!
jade_ice,Can't seem to get over the dissapointment of haveing absolutly no one notice I am gone. Sad   I must not be boring I must not be boring...
clairem02,"http://twitpic.com/2y5s9 - He only reminds me of him because he doesn't wash his hair, that's all. Gross, I know! "
Jimmy_Jojo,Is feeling like dancing in the rain like a pixie......but the rain stopped  ohh well....lol I'll watch flight of the conchords instead
bariles,just got back from the funeral of a government employee-friend.    http://plurk.com/p/n0bvd
PamsLove,@deepbluesealove Your beau's not online tonight  bummer for U...And No music either!
IanB022,Started getting mailshots aimed at pensioners - it's all downhill now 
mintie,Wishing I could sneak in to watch the Star Trek premiere 
salogel42,owww.... just hit my elbow really hard on a door 
ElmosSexy,cant wait 2 c Carter when bak @ skewl hate gettin sick it suks.......blech 
hell2304,@Best_Flights Need 2 get ass in gear! Wana go away 24/6 bt nt sure where Cairo &amp; UK maybe bt may b able 2 go earlier bt wont no til 8/5 
JasonWelch,"wow #epicfail on me. I did a search for epicfail and didn't see many entries but apparently, it's widely used. I'm depressed now "
in_wonderland,"I don't want to be cold in April, but I am "
andygates,"Noes, my goat-wool socks have worn through "
HeidiJMess,SO tired but can't sleep 
dextermixwith,Dropped car off to get exhaust replaced - that's �250 I could do without spending 
body0project,"School work BORING,  Working on a business law paper right now can't wait till i'm done.  Hopefully tomorrow grrrr...   "
burke_libbey,Too many assignments 
nick_s_drew,"@olabini still here, though the site is gone "
SarahAnnGreen,Got to pause twilight now as nearly at work 
tamii123,"@hollaglam my fav English teacher, she just had miscarriage.  &amp; u knw wht makes me sad even more? she was going to name her baby Tamara "
Ms_Lydia,"Anxiously awaiting June 28th, it  can not come soon enough (my graduation ceremony).  Am not looking forward to the 10th end of my break "
bgmahesh,What is common between Chidambaram and George Bush  ?
jas0n360,Morning everyone! Stuck in registration for a while then assembley! Nayyy 
ACTinglikeamama,@Cezzadwen I think that it's pretty standard wherever you go?  Can't find it anywhere in Canberra yet 
Jizzel09,home with the flu ahhh  suxz well and tired will go to sleep in about an hour or so Goodnites !
kronos_vano,The first serial about my city so stupid... 
MATTY_METAL118,@sianllewellyn ive txt you this morning 
Hollywood_Trey,@LFTA Got me what again? I'm sorry I can't understand ur last tweet 
bgmahesh,What is common between Chidambaram and George Bush  http://news.oneindia.in/2009/04/07/sikh-journalist-hurls-shoe-at-p-chidambaram.html
melodyjae,I feel like I should change my picture but I don't think I could part with my bff Audrey Hepburn. 
Taylerose,"nooooo!! I was doing so good, im not allowed to cry.. ughhh, staying up late makes me think about stuff.. "
Randalliser,"My forehead is starting to feel like someone has cut a slice out of it. Oh, that's right, someone cut a slice out of my forehead today "
amyknapp,"@annemarike oh no  owies, when will that happen? "
D3vilishAngel,Thinking of pay day.....another 3 weeks to go  lol
SweetThing109,@AllStarNinja my choices are limited since they blocked my HULU.. 
Mark_Mc,Waiting for my flight. Slumming it in the departure lounge. 
The_Gunn_Man,Area nightclub making �8 out of the bewilldered uni students who have arrived home. while the poor folk like me have to struggle on 
rodpetrovic,It is just me. Uninstalled #rails 2.3.2 and tried with a fresh 2.2.2 app - still no dice. Obviously something bizarre in my setup 
laowai,"@JCTurner Yeah, not good. Even going back to 2.2.1 didn't resolve it. "
arw21,@Tasouls what stupid show were you watching? lol. Not that there is any shortage. 
chicamuchacha,still waiting and missing my baby boy! 
honkandwave,Omg house what did I ever do to you   
Sophhs,"@_adriii OMGOSH, they're like biscuits, so so so yum. xD you haven't lived until you've eaten them missy :p &amp; i miss you too  x"
pearlbones,tooo early. im running late. 
jesustoastcakes,I don't feel so hot.... 
djrivard,Leaving Koh Tao  start of journey back to Bangkok  http://twitpic.com/2y5uv
rsefuck,"@Cuckolds I'm being set up again except now I'll have to watch her with 2 huge membered guys, I feel like a hat stand "
ems_london,@fionamccarthy I am sure it will! I have got loads to do today 
ladykillerr,ps just broke my fucking phone 
scienide77,Not many people from my home town using IRL connect ... 
Misssarahnoir,@xjerx she's at the Ritz LOL but been there before and it's ok for a gig! Not got any more planned  what about you?
XLucySX,is at work!!!  xx
Josephus,@katyrullman This is why you need to not be over in the Old World. I misses hanging out and being awkward with you 
LuvChrisMartin,@aplusk It amazes me men like you actually exist... I hope I find someone someday who will love and value me 
joelfrancis25,is going to school to do dt 
bridwag,"@Juzley Yaaaay, maybe I should've gone "
amyamoore,@mileycyrus I guess counting sheep didn't work  Hope you get some sleep!
7_7,/really/ need to clean the sensor in my SLR. As it is I will be doing spot removal from several hundred pictures 
cutthetension,Woken up by someone hammering &gt;&lt; they have stopped now and I can't get back to sleep 
Scottfoshawdj,has a hangover 
jmroskell,Is stuck in traffic 
Rhiand92,"@_elliee haha yeah, i thought it would be much more complicated :') and well ive just got home from school, we've not got holidays  x"
griffybabyyyy,i think i have tonsillitis 
xdokkenx,@mileycyrus I would too if it meant spending a day in heaven w/my mom and getting to see her again. 
pjakobs,"@FoxWhisperer clean, but it resulted in the soft top beaing soaked wet, so I couldn,t open it  should be dry now"
nevvty,#mhbigcatch 8oz Golem  But finally got a Wight - 3oz
UnmistakableRFC,"@nick_carter Time for Warcraft yes, but for a simple game of a group of fans no  Just let us know if u figure it out, you want the prize?"
justinezeisman,@yopatrizzle Not sure to tell u the truth  it's been so long since I've seen him but ask Sumo's daddy @PAULSKRATCH he has full custody lol
Lulabelli,Really wish I could see Eddie Izzard on tour  Damn the stupid expensive tickets!!! CAKE OR DEATH?!!!
jpcajas,I can't sleep I'm stressing out  JPC &lt;3
LeahEarnshaw,"think im an insomniac, i just cant sleep..    birthday in 5 days... oh yay. ~_~"
euthanAJA,*cough*cough*cough* that's all I seem to do right now 
ignati,@Kal_Penn most confusing hour of my life. 
madhu_bhishma,Another long and slow day ahead ... *sigh!*  
courtybourty,@islandnene83 well you didnt even consult me to see what my plans were. maybe they changed...and they did. so thanks.   
theapple,dang! i'm lazy  i've begun three short stories in the last three weeks... and never finished anything. will. have. more. focus.
one_four_three,"@LOSTmeself ;; uh.. february something, haha!  imy! "
Cioot,@MizzChievouz am sorry to say but it is still in the air 
kibbum,holy shindigs.  thats HOT.
Squishtof,is thinking he's going to have to reinstall WoW as it simply refuses to update to 3.1.0  irritating times  It'll take forever 
nettyp,Okie dokie my tweoples its been a long day and I have to be in the city by 10 am BOOOOOOOOOOOO  Good night my lovelies &lt;3
Ronamurder,hoping I can fall asleep after watching Knowing.  Definitely wasn't National Treasure 
Suspiremedia,I think my email / domain is being blocked by  Akismet 
vivavar,Blip.fm is undergoing maintenance.  http://blip.fm/
nrotschafer,@yayfuckbuddies haha I would but you won't 
beccoombsdean,"Why is it that anytime that I plan what do, I get sick and all the plans go out the window. "
zbrass,@rodrigo very grey morning 
MJtwitchat,feeling ill and sorry for myself 
maraem,o have too much on my mind and is trying to write it all down so maybe i can get some sleep before class...it's not really working 
chrismehigan,@cufa Getting lots of dentist time myself at the moment. Very stressfull and sore  take it nice and easy for the rest of the day!
stu_thom,Coke Zero mobile site broken... on iPhone anyway...   http://twitpic.com/2y5xp
ria_awesome,"&quot;Bruce Springsteen embarks on world tour.&quot; Apparently, Oz is on some other, unworldly planet "
TattooedGumball,Today I got2do shopping 4easter! &lt;3 Malachi xx owww I'm so sore too 2day 
3lla,Being grumpy. Abu Dhabi is so boring. There really is nothing to photograph and no one to go with 
rsmarsha,"@kel_marshall tell me about it, had some mortgage quotes last sat. Going to be skint for the next 30 years. "
djsiddall,is hoping the posty delivers my pink tickets 
Jillian268,@rustyrockets do I sense a blog coming on?  Too bad I have to leave in like 10 mins   xxx
geeneeyes,The house is one big mess. Everything is crammed in my bedroom while they do up the other rooms 
chrissnelling,Not liking being back at work this morning 
unicorngirl,"Argh, opened my crisps upside down.  I hate that. "
AdeleMeichan,Feeling really really ill 
cole007,Blazing row with boy. Tantrums all round. Missed train and now standing on platform feeling guilty 
Hazelia,Don't have any hot water.... 
Didix2,@eNiBeNi lol im sorry! love ya! stupid dating coach that makes me feel self-conscious about my hair 
DenzelBurks,@joenoia wass up lovely i anit show you no love yet... 
briiiiiiian,"Worst dream ever, and not my usual nightmare either. The worst part is its probably gonna come true "
Jurg3ns,pfff i want to go back to bed i feel horrible today 
arisan,I also want Easter Break / P�sklov! 
B20boy,can't sleep and dunno why! 
ryezak,Biking is hard ya'll 
tashhhhhhh,@dougiemcfly morning  i'm really upset  my rabbit ran away last night  and the postman woke me up early  reply? ilu x.
CharlT88,off to the drs its too early 
Phib3r_0ptik,man my internet is slow atm 
giny21,is looking at the gray sky. The sun has been stolen again 
hepi,has a very painful shoulder this morning 
JustMTB,4.52 am ... I'm 2 tired 2 think!!!!... Peace out!!!!... M... 5564583833755523.... 811... 
divasoria,i will say it out loud - i miss you a-hole and your answers to my iPhone questions. now who will help me upgrade to 3.0? 
TimbreWithLove,"My heart is abused with so many hurtful lies, and truths. I hate being sappy about these kind of things. I hate it "
richstokes,so. fucking. bored. of. work 
sethjeffery,Landed funny on my foot this morning while jumping down the stairs and I twisted it. Quite sore now.. 
cheeseyy,in a taxi on the way to get pizza. bad traffic and headache. worst. 
mattsantucci,"@XombieXS Of course. What aren't they remaking?    At least with Haley, I have a bit of hope."
nicolestjohn,I had a migraine and now I can't sleep. boo  
sobayaki,"For some reason, I have a strong urge to draw illustrations for novel covers. "
mercuryspectra,"Prodigy were ace last night! Only managed a few hours sleep last night, not feeling myself today        Have a cool day guys."
JordH09,has realised that this time it might actually be final 
superne,having a horrible headache day and nose bleeding...awful feeling 
stripeboy,"just found that if I use Windows 7 to browse twitter.com, the firewall software will automatically turns off, and the PC hangs. "
guydavies,Back to work with a bump!  The long weekend is definitely over 
SleepyGeek,"Curses, my yoghurt exploded in my bag on the way to work. Now everything smells like toffee "
TimbreWithLove,"My heart is abused with so many hurtful lies and truths. I hate being sappy about these kind of things. I hate it  Gold for syf, k?"
Mel_xXx,"ias awake, but has to go into school today "
Augustina22CA,"im lonely  keep me company! 22 female, california"
wilsonlim,in Genting now! But I now at gohtong jaya using com... 
lleeann,@vishal_ud yeah got no choice.. 5am not to study.. 5 am to reach class on time for the paper   hows eco treating you?
abhian,@SLotH13 isliye call nahi kiya baad me..thinking ki ab to tu movie dekh raha hoga 
zuziazuziulka,gloomy weather...again 
whitejediguy,*sigh... gonna take a while to find all the files  argh
CareyMetcalfe,is sad that the march break is over 
XFearLessX,@mileycyrus AWWW u seriously have the cutest dog Miley! Sorry your not with her now  Hope u get some sleep! xoxo
smithcdau,"QR + Veolia FAIL! Translink, the buses and trains don't align, so the early train is just as late as the  bus one hour later "
jess22t,@crackcouture wow! that sounds fun! nah just going to melbourne for a couple of days unfortunately 
hancohen,has tonsilitis on my birthday 
egg104,@jeffkang greeeeat but now i ate all my hard work away 
andrewspeck1101,@EllenDeG ellen......... Do my messages not get to you.......  if you didn't notice i'm sad. I try so hard to communicate wif u
SweetThing109,"Observe &amp; Report was premiering at the Chinese Theater I was driving by slowly but only saw the reporters &amp; red carpet, no stars "
katkathir,Tried with smsjunction.com.. but got ODBC Driver errors.  
nxomega,@Ch0en huh?? Like what?? I didnt know? 
barbsrad,"I had plans today, and now I'm scared of you know, moving, for fear of teh boke  fml."
felloff,Just heard Eminem's new single. It's official. He fell off. : Just heard Eminem's new single. It's official. He fell off. 
zen_habits,A bit under the weather the last coupla days -- workouts have been low in energy. 
ariasink,It's a nice day for once and Chibi and I are stuck at home waiting for a parcel 
npfanzine,@OfficialRandL where's the update? or have i missed something 
dorkusmalorkus,@ellisonrox awwww  but she will be on tomorrow @ 4. i will still watch her show even though you guys persecute me. are you far away? 
amberrrrr93,its the holidays and i still bloody insist on waking up at school times 
Phylop,"Finger hurts, can't sleep even after my vicoden &amp; alcohol combo... "
indiegirl175,"i fell tired, i want to sleep, but im almost done with some work, and i need to go to the bathroom "
Fentoozler66,is missing her roo and totally ready to be over this stupid sickness....arghhh 
elfinamsterdam,@icedcoffee they end up back as read only ... and still the error persists. I cant add anything to the library now   so cant update my ...
Seattle_Dude,@DelicatelyReal  I feel your pain
marand313,I NEED to post a video!!!!  But I'm stuck...
janakatarina,@nixpineda I miss youuu. 
Oli_li,penalty scored at Tynecastle. Still got beat though! 
steve228uk,"@duncn Revision, again.  Oh, and morning @itscammy!"
darthhamster,Nobody likes Leatherhead. 
mrcelebrity,okay bbs &lt;3 does anyone know where i can get info on how night clubs in L.A. cost? i wanna rent one out next year please  I'll invite yall
kristinafloyd,has got combined ear and toothache and wants to rip her face off.  *stamps foot*
ozlyn,"@laratron alas, I have no Pimms "
bopeepsheep,"I don't think I like the Saw ride at Thorpe Park. The tv ad makes me feel sick, so goodness knows what the ride would do. "
shmulyh,just joined twitter and doesnt know anyone yet... 
dennisvdbogert,"pfff, rearanging database "
meLanieee1994,is wishing he loved me 
HeidiRochelle,@heidimontag The Hills episodes were so sad   PS. LOVE your name
dangerousdanone,Watching DJ Emir battle his computer for supreme ruler of the studio.  I think the computer is winning 
karbotweets,&quot;Flight of the Conchords&quot; suddenly disappeared from Spotify 
ntoll,Kids up at the crack of dawn... I'm still full of cold. Bleh  Starting work... #stuckrecord
xxLizzy,Naar Haddow. Racket mee! Wahey 
ididntvote4you,@breonna  why not saturday??
athinkingman,"For some reason I can't explain, I know St Peter won't call my name "
ehu,@marleyuk I think you spoke too soon - big black rain cloud charging towards town now 
futurefirstlady,and i didnt end up seeing it  bumma...some ppl are being a pain
moonscraps,is with the flu... 
punk_smooth,isnt there any way we could update twitter through our cellphones 
LadyErlynne,"@vindiekins Aww, you're leaving me?  Just was hoping for input -- I have avatars in the RP thread on MTP. Torn on personality..."
piyushgupta,@krist0ph3r thats damn sad   hope things will be fine after gud lunch...
preehistoric,"@sinktoswim,  hopefully it will be!!"
crouchy,"just enabled ActiveSync on my Google Apps account, I can now sync my contacts and calendars over the net, but no mail as of yet "
meLanieee1994,in LOveeee &lt;3 and it hurts 
Lewdogg13,I hate being away from her... I cant sleep alone anymore 
stblank,Depressed. Our new app's Alpha 0.0.10 is now even more complex than our last app's version 9.5. I long for those  small dev teams days.  
dmtran1028,Currently watching &quot;Roommates&quot;. I miss the NYC!!! 
Kristy92K,needs a hug 
captainianr,Back at the office -     still only 3 days until another long weekend... 
cocoabeauti04,@MsTyraC lol yea I thought about tht ..sowey  but thnx I have some rod ones sitting around&quot; orange my fav color just didn't kno how 2 use
LeojaneZhu,Feeling blue...And almost everybody says that my jokes are bad. 
truthslayer,"waiting, waiting, waiting for a phone call that may mean I can actually sleep at night......but then again "
ramanagal,hate being here 
ChiQueenDiva,"@therealswizzz i guess graphic art didn't make the cut, huh? "
wendyblackheart,may hold off on hawk. Getting a job first might be a better idea... But i want it. 
kixxa,"@jvmediadesign I have pic of bucket kitty!! but, I'll probably post it tomorrow now. means having to find cables and connections... "
kmmcat123,"http://twitpic.com/2y65i - Snow, the guy I'm seeing car at work...lmao...he gonna kill me "
shinsh0ku,"@BonnieBix controlling own life not possible uni after graduation, when i start masters.  boohoo"
yshiee,having a major head ache!!!!  this sucks men! arrrrrrrg!
Muric2024,@mileycyrus http://twitpic.com/2xszg - Napping? At this point you may need a few of those. GMA is gonna come early. 
rachael_ann,yes it is  and i got ripped off do not shop at WOW. !!!
ianjeffray,"Slept badly.  Still feel like hell, but maybe not as bad as yesterday.  Why am I /always/ ill when I take time off work? "
Geir_Age_Sorum,"At work, and a little sick "
xcupcakekidx,"its already 1 in the a.m. I need to sleep, especially since I have to be at school for 12 hours "
viabriones,Beeeaaach. 
funkybaby76,What a bad day! Need comfort drink - sipping on a mocha frap here at Starbucks with Tricia. So tired 
lananana,"What a day! So busy, my head hurts from thinking too much! Annnd tomorrow will be the same. Woe is me "
oliverwebb87,Has just realised he works with a bunch of racists. 
projectVISUAL,"@gerrycoe Hi Gerry, I'm in Dublin most of the time; college "
quirkytraveller,Tweet4Today: &quot;Have a limbo party while you are still supple enough to get under that bar&quot; .... Still??? 
nrotschafer,@yayfuckbuddies what? I would!  And me horny too 
eicmc,im hungryyyy   need more sushi
hiway,I really wish I had not bought the camera-less E62 that day when my 6680 went dead. I miss photographing little things. dSLR is too bulky 
Ice_Ziggee,@arhh_ I think I�ll end up going alone  But I will see it at some point...
dzuelke,"@skoop but those cause RSI too  RSI guides always tell to use two hands for shortcuts... Ah well, I wish you luck. Keep me posted please."
marco_cali,@marcfennell I should be in that photo 
msflora,"@alenakristina Oooooh I love it!! Sorry I can't help  if you can't find it, I probably wont be able to find it because, well, you know..."
amiiiee,"sucked in heather, sewage bath xP and poor owen in the bear  (total drama island)"
DeborahEBurrow,Borning - thats me with a cold virus - all bunged up and eyes all squinty...bah 
bethasaurr,The one day i really need to go into school and i'm not well 
craig_sparkes,is no longer on google 
Ameliesfish,@BritSystem She stopped eating and is just sleeping all day.  Im worried about my precious little bean.
Elle_Smile,finished making chocolates and feet really hurt... 
xoxo90,Gawd! My laptop is fucked up now! System Error?! Just using my Lil brother's laptop. 
CherylColeUK,Freshly Squeezed lied. They only showed the video in the end! 
nuchtchas,"OK so I stayed up, but didn't watch heroes  Did admin stuff and WP stuff, learned some new WP stuff and finally happy with the layout"
Operlence,I loved Mari Trini�s songs when I was a child... 
lesleyeccles,Devastated that the Spiegeltent won't be coming to Edinburgh Festival this year http://tinyurl.com/djh4pr 
chrisgiovannix,I'm sorry. I've ruined everything between us. forgive me? 
gazman193,I think I should not use twitter as I offend people unintentionally 
catbook,Mitea is missing  http://apps.facebook.com/catbook/profile/view/6040269
phampton,"3 days leave then Easter, no work for a week,  Except for the long list of DIY jobs to do at home, "
henryb35,Heading to bed! Have to be at work in 6 hours 
